,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,
1,0.004265706275,0.004202772886,0.004587321847,0.003702865043,0.004096058903,0.003563243391,0.004584277295,0.0400191212,0.04300203255,0.02889595089,0.703618405,0.003594355827,0.03364810505,0.06244955092,0.05577023292,11
2,0.0006948746977,0.0007240175126,0.0007044475254,0.0006872305621,0.0007290884864,0.0006342227105,0.0007217324965,0.007297409855,0.006762336441,0.006513414157,0.9514994277,0.0006762540728,0.007580571248,0.007433952552,0.007341019941,11
3,0.001138204523,0.001032488669,0.001041023797,0.00107217191,0.001282725917,0.001107784091,0.001006076713,0.008689343669,0.0127553236,0.01408221476,0.9260134892,0.001158326966,0.01172548043,0.009756188308,0.008139157398,11
4,0.003262345886,0.003938912358,0.00312157447,0.004241617947,0.003923510948,0.003427466494,0.003383737657,0.04213693139,0.02635198704,0.05451200083,0.7244832109,0.004157552338,0.07261760851,0.02359496981,0.02684657346,11
5,0.0004806541059,0.000445936727,0.0004517012106,0.0004507185195,0.0005274940621,0.0004562497346,0.000440354916,0.003892876788,0.005302442393,0.005350359099,0.9686121818,0.0004758986055,0.004869681519,0.004459372995,0.00378407757,11
6,0.002444473625,0.002470025484,0.002557977452,0.002247455342,0.002441819791,0.002123967817,0.002586394982,0.02426042187,0.02439265745,0.01904801124,0.8311003217,0.00219408737,0.02219869645,0.03087978495,0.02905390448,11
7,0.003599027089,0.003027023236,0.003112951073,0.003287695679,0.00423401985,0.003640728568,0.002922374576,0.02316631345,0.04295210336,0.05221038196,0.7710409509,0.003752714537,0.0346742873,0.02711146435,0.02126796412,11
8,0.00194500466,0.001872831671,0.001982515493,0.001738323675,0.001961677355,0.00170270185,0.001961232704,0.01745643689,0.02059295927,0.01568704078,0.869965337,0.001738179789,0.01699831051,0.02375540958,0.02064203881,11
9,0.005760554645,0.006318321645,0.005033821319,0.007652283611,0.007672503812,0.006674174806,0.005239894312,0.05358411965,0.04663354867,0.170343073,0.478554362,0.008326679425,0.1309286109,0.03330810226,0.03396994984,11
10,0.004972504563,0.004852713241,0.004289637956,0.005652482698,0.006378558563,0.005517797703,0.004274852736,0.03920260537,0.04658131256,0.1170049399,0.6179595577,0.006353456297,0.0770139005,0.03114747446,0.02879820573,11
11,0.002125696569,0.00232396014,0.001990982313,0.002494156259,0.002528991654,0.002200217899,0.002075535184,0.0226112732,0.01893200896,0.0342025008,0.8372280235,0.002549197009,0.03640013294,0.01592037641,0.01641694713,11
12,0.002361560964,0.002458175436,0.002163998763,0.002677429274,0.002838655492,0.002464150412,0.002211796428,0.02251049011,0.0219191846,0.03995920904,0.8242374436,0.002814755263,0.03722610928,0.01725699635,0.01690004503,11
13,0.003347691013,0.002954080697,0.002913886623,0.003243412939,0.004005920294,0.003451413348,0.002789561765,0.02329213277,0.037212228,0.05352395874,0.7784163453,0.003661568851,0.03657510441,0.0243986877,0.02021400756,11
14,0.002206622414,0.002284224738,0.002313058382,0.002082974812,0.002221445329,0.001933697289,0.002364525264,0.02303969539,0.02148300231,0.01768346523,0.8455585417,0.00201971541,0.0211483042,0.02708746573,0.02657326179,11
15,0.004635900233,0.004260987828,0.003972101462,0.0048735266,0.005822725082,0.005023224556,0.003867764459,0.03343555803,0.04713981526,0.09550433037,0.6691224085,0.005557452577,0.06004144154,0.03028950191,0.02645326163,11
16,0.002967448977,0.002771330229,0.003047659232,0.002537534605,0.00292847359,0.002540285811,0.002972290414,0.02505780281,0.03237668589,0.02209754443,0.8034486763,0.002545451122,0.02355027141,0.03913358924,0.03202495596,11
17,0.001747487631,0.001683079738,0.001774038644,0.001569148435,0.001770875059,0.001536916517,0.001755303978,0.01568324787,0.01851746198,0.01434247092,0.8833132284,0.001572076453,0.0154675908,0.02099160937,0.01827546424,11
